Publication title,Link,Abstract,Date,Author information
optimising feedstock flowrate to improve the performance of an existing anaerobic digestion system.,https://pureportal.coventry.ac.uk/en/publications/optimising-feedstock-flowrate-to-improve-the-performance-of-an-ex,"This paper presents an approach to model and optimise the feedstock flowrate of an anaerobic digestion (AD) cooking system by simultaneously minimising the volume of flared biogas, the unmet cooking demand and the energy cost...",24 Jun 2021,"['Rjaa Jawad Ashraf, https://pureportal.coventry.ac.uk/en/persons/rjaa-jawad-ashraf', 'Jonathan Daniel Nixon, https://pureportal.coventry.ac.uk/en/persons/jonathan-nixon', 'James Brusey, https://pureportal.coventry.ac.uk/en/persons/james-brusey']"
pedestrian and vehicle detection in autonomous vehicle perception systems—a review,https://pureportal.coventry.ac.uk/en/publications/pedestrian-and-vehicle-detection-in-autonomous-vehicle-perception,"Autonomous Vehicles (AVs) have the potential to solve many traffic problems, such as accidents, congestion and pollution...",31 Oct 2021,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
"predicting mortality, duration of treatment, pulmonary embolism and required ceiling of ventilatory support for covid-19 inpatients: a machine-learning approach",https://pureportal.coventry.ac.uk/en/publications/predicting-mortality-duration-of-treatment-pulmonary-embolism-and,"Introduction Within the UK, COVID-19 has contributed towards over 103,000 deaths...",20 Feb 2021,"['Alireza Daneshkhah, https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']"
predicting the technical reusability of load-bearing building components: a probabilistic approach towards developing a circular economy framework,https://pureportal.coventry.ac.uk/en/publications/predicting-the-technical-reusability-of-load-bearing-building-com,The construction sector is the largest consumer of raw materials and accounts for 25%–40% of the total CO2 emissions globally...,29 May 2021,"['Alireza Daneshkhah, https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']"
proving unsat in smt: the case of quantifier free non-linear real arithmetic,https://pureportal.coventry.ac.uk/en/publications/proving-unsat-in-smt-the-case-of-quantifier-free-non-linear-real-,"We discuss the topic of unsatisfiability proofs in SMT, particularly with reference to quantifier free non-linear real arithmetic...",16 Jul 2021,"['Matthew England, https://pureportal.coventry.ac.uk/en/persons/matthew-england']"
review of unpacking gender and sexuality in contemporary mormonism,https://pureportal.coventry.ac.uk/en/publications/review-of-unpacking-gender-and-sexuality-in-contemporary-mormonis,Review of Unpacking Gender and Sexuality in Contemporary Mormonism Taylor G...,1 Oct 2021,"['Alison Halford, https://pureportal.coventry.ac.uk/en/persons/alison-halford']"
scenario optimisation and sensitivity analysis for safe automated driving using gaussian processes,https://pureportal.coventry.ac.uk/en/publications/scenario-optimisation-and-sensitivity-analysis-for-safe-automated,Assuring the safety of automated vehicles is essential for their timely introduction and acceptance by policymakers and the public...,15 Jan 2021,"['Alireza Daneshkhah, https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah', 'Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
security improvement for energy harvesting based overlay cognitive networks with jamming-assisted full-duplex destinations,https://pureportal.coventry.ac.uk/en/publications/security-improvement-for-energy-harvesting-based-overlay-cognitiv,This work investigates the secrecy capability of energy harvesting based overlay cognitive networks (EHOCNs)...,6 Oct 2021,"['Seongki Yoo, https://pureportal.coventry.ac.uk/en/persons/seongki-yoo']"
simultaneous actuator and sensor faults estimation for aircraft using a jump-markov regularized particle filter,https://pureportal.coventry.ac.uk/en/publications/simultaneous-actuator-and-sensor-faults-estimation-for-aircraft-u,The advances in aircraft autonomy have led to an increased demand for robust sensor and actuator fault detection and estimation methods in challenging situations including the onset of ambiguous faults...,7 Jun 2021,"['James Brusey, https://pureportal.coventry.ac.uk/en/persons/james-brusey']"
ssf: smart city semantics framework for reusability of semantic data,https://pureportal.coventry.ac.uk/en/publications/ssf-smart-city-semantics-framework-for-reusability-of-semantic-da,Semantic data has semantic information about the relationship between information and resources of data collected in a smart city so that all different domains and data can be organically connected...,7 Dec 2021,"['Seongki Yoo, https://pureportal.coventry.ac.uk/en/persons/seongki-yoo']"
the challenges of community-based solar energy interventions: lessons from two rwandan refugee camps,https://pureportal.coventry.ac.uk/en/publications/the-challenges-of-community-based-solar-energy-interventions-less,The paper presents evidence from the performance assessment of two solar energy interventions...,5 Nov 2021,"['Jonathan Nixon, https://pureportal.coventry.ac.uk/en/persons/jonathan-nixon', 'Alison Halford, https://pureportal.coventry.ac.uk/en/persons/alison-halford', 'Elena Gaura, https://pureportal.coventry.ac.uk/en/persons/elena-gaura', 'Gaura, E., https://pureportal.coventry.ac.uk/en/persons/elena-gaura', 'Nixon, J., https://pureportal.coventry.ac.uk/en/persons/jonathan-nixon']"
the dewcad project: pushing back the doubly exponential wall of cylindrical algebraic decomposition,https://pureportal.coventry.ac.uk/en/publications/the-dewcad-project-pushing-back-the-doubly-exponential-wall-of-cy,"This abstract seeks to introduce the ISSAC community to the DEWCAD project, which is based at Coventry University and the University of Bath, in the United Kingdom...",Sept 2021,"['Matthew England, https://pureportal.coventry.ac.uk/en/persons/matthew-england', 'AmirHosein Sadeghimanesh, https://pureportal.coventry.ac.uk/en/persons/amirhosein-sadeghimanesh']"
"the salience of islam to muslim heritage children’s experiences of identity, family, and well-being in foster care",https://pureportal.coventry.ac.uk/en/publications/the-salience-of-islam-to-muslim-heritage-childrens-experiences-of,"All children need permanent and secure homes in which they can explore their identities and evolve as human beings, citizens, and family members, and within which can they have a sense of security, continuity, stability, and belonging...",25 May 2021,"['Sariya Cheruvallil-Contractor, https://pureportal.coventry.ac.uk/en/persons/sariya-cheruvallil-contractor', 'Alison Halford, https://pureportal.coventry.ac.uk/en/persons/alison-halford', 'Cheruvallil-Contractor, S., https://pureportal.coventry.ac.uk/en/persons/sariya-cheruvallil-contractor', 'Halford, A., https://pureportal.coventry.ac.uk/en/persons/alison-halford']"
using machine learning algorithms to develop a clinical decision-making tool for covid-19 inpatients,https://pureportal.coventry.ac.uk/en/publications/using-machine-learning-algorithms-to-develop-a-clinical-decision-,"Background: Within the UK, COVID-19 has contributed towards over 103,000 deaths...",9 Jun 2021,"['Alireza Daneshkhah, https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']"
whonet: wheel odometry neural network for vehicular localisation in gnss-deprived environments,https://pureportal.coventry.ac.uk/en/publications/whonet-wheel-odometry-neural-network-for-vehicular-localisation-i,"In this paper, a deep learning approach is proposed to accurately position wheeled vehicles in Global Navigation Satellite Systems (GNSS) deprived environments...",3 Sept 2021,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade', 'Anuradha Herath, https://pureportal.coventry.ac.uk/en/persons/anuradha-herath', 'Michael E. Fitzpatrick, https://pureportal.coventry.ac.uk/en/persons/michael-fitzpatrick']"
"working towards modern, affordable & sustainable energy systems in the context of displacement: recommendations for researchers and practitioners",https://pureportal.coventry.ac.uk/en/publications/working-towards-modern-affordable-amp-sustainable-energy-systems-,"Working towards modern, affordable & sustainable energy systems in the context of displacement: Recommendations for researchers and practitioners is a working paper drawn from presentations and discussions that emerged during the ‘Agency of Change: Energy in the Displaced Context’ digital Conference held on Wednesday 4th November 2020...",18 Jan 2021,"['Alison Halford, https://pureportal.coventry.ac.uk/en/persons/alison-halford']"
"‘come, follow me’, the sacralising of the home, and the guardian of the family: how do european women negotiate the domestic space in the church of jesus christ of latter-day saints?",https://pureportal.coventry.ac.uk/en/publications/come-follow-me-the-sacralising-of-the-home-and-the-guardian-of-th,"In October 2018, the Prophet Russell M...",12 May 2021,"['Alison Halford, https://pureportal.coventry.ac.uk/en/persons/alison-halford']"
a leap from randomized to quantum clustering with support vector machine - a computation complexity analysis,https://pureportal.coventry.ac.uk/en/publications/a-leap-from-randomized-to-quantum-clustering-with-support-vector-,"Supervised machine learning deals with developing complex non-linear models, which can be used later to predict the output for a known input...",3 Aug 2020,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade']"
a low cost and highly accurate technique for big data spatial-temporal interpolation,https://pureportal.coventry.ac.uk/en/publications/a-low-cost-and-highly-accurate-technique-for-big-data-spatial-tem,"The high velocity, variety and volume of data generation by today's systems have necessitated Big Data (BD) analytic techniques...",13 Mar 2020,"['O. Chatrabgoun, https://pureportal.coventry.ac.uk/en/persons/omid-chatrabgoun', 'A. Daneshkhah, https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']"
a machine learning based software pipeline to pick the variable ordering for algorithms with polynomial inputs,https://pureportal.coventry.ac.uk/en/publications/a-machine-learning-based-software-pipeline-to-pick-the-variable-o,We are interested in the application of Machine Learning (ML) technology to improve mathematical software...,8 Jul 2020,"['Matthew England, https://pureportal.coventry.ac.uk/en/persons/matthew-england']"
a new hardware approach to self-organizing maps,https://pureportal.coventry.ac.uk/en/publications/a-new-hardware-approach-to-self-organizing-maps,Self-Organizing Maps (SOMs) are widely used as a data mining technique for applications that require data dimensionality reduction and clustering...,31 Jul 2020,"['Elena Gaura, https://pureportal.coventry.ac.uk/en/persons/elena-gaura']"
a scalable hybrid mac strategy for traffic-differentiated iot-enabled intra-vehicular networks,https://pureportal.coventry.ac.uk/en/publications/a-scalable-hybrid-mac-strategy-for-traffic-differentiated-iot-ena,The increasing popularity of Internet of Things-enabled Intra-Vehicular Wireless Sensor Networks (IoT-IVWSNs) relying on IEEE 802...,20 Apr 2020,"['I.F. Kurniawan, https://pureportal.coventry.ac.uk/en/persons/ibnu-febry-kurniawan']"
behavioural analytics: a preventative means for the future of policing,https://pureportal.coventry.ac.uk/en/publications/behavioural-analytics-a-preventative-means-for-the-future-of-poli,"Without sufficient intelligence, police response to crimes occurs in the form a reactive retort...",17 Jul 2020,"['Alireza Daneshkhah, https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']"
constructing gene regulatory networks from microarray data using non-gaussian pair-copula bayesian networks,https://pureportal.coventry.ac.uk/en/publications/constructing-gene-regulatory-networks-from-microarray-data-using-,Many biological and biomedical research areas such as drug design require analyzing the Gene Regulatory Networks (GRNs) to provide clear insight and understanding of the cellular processes in live cells...,24 Jul 2020,"['Omid Chatrabgoun, https://pureportal.coventry.ac.uk/en/persons/omid-chatrabgoun', 'Alireza Daneshkhah, https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']"
contemporary issues for the church of jesus christ of latter-day saints in ireland and the united kingdom,https://pureportal.coventry.ac.uk/en/publications/contemporary-issues-for-the-church-of-jesus-christ-of-latter-day-,The relationship of the Church of Jesus Christ of Latter-day Saints (LDS Church) to its members in a variety of cultural locations has come under increasing scholarly scrutiny in recent years...,13 Nov 2020,"['Alison Halford, https://pureportal.coventry.ac.uk/en/persons/alison-halford']"
copula-based probabilistic assessment of intensity and duration of cold episodes: a case study of malayer vineyard region,https://pureportal.coventry.ac.uk/en/publications/copula-based-probabilistic-assessment-of-intensity-and-duration-o,"Frost, particularly during the spring, is one of the most damaging weather phenomena for vineyards, causing significant economic losses to vineyards around the world each year...",11 Sept 2020,"['Omid Chatrabgoun, https://pureportal.coventry.ac.uk/en/persons/omid-chatrabgoun', 'Alireza Daneshkhah, https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']"
digital twin technologies and smart cities,https://pureportal.coventry.ac.uk/en/publications/digital-twin-technologies-and-smart-cities,"This book provides a holistic perspective on Digital Twin (DT) technologies, and presents cutting-edge research in the field...",2020,"['Alireza Daneshkhah, https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']"
effective capacity analysis over generalized composite fading channels,https://pureportal.coventry.ac.uk/en/publications/effective-capacity-analysis-over-generalized-composite-fading-cha,"A performance analysis of the effective capacity in two recently proposed generalized composite fading channels, namely $\kappa$-$\mu$ / inverse gamma and $\eta$-$\mu$ / inverse gamma composite fading channels, is conducted...",17 Jun 2020,"['Seong Ki Yoo, https://pureportal.coventry.ac.uk/en/persons/seongki-yoo']"
energy optimization on joint task computation using genetic algorithm,https://pureportal.coventry.ac.uk/en/publications/energy-optimization-on-joint-task-computation-using-genetic-algor,"Joint computation is a form of collaborative job execution running at separate physical units, which are previously grouped by their unique functionalities...",21 Dec 2020,"['Ibnu Febry Kurniawan, https://pureportal.coventry.ac.uk/en/persons/ibnu-febry-kurniawan', 'Fei He, https://pureportal.coventry.ac.uk/en/persons/fei-he']"
generation of pedestrian pose structures using generative adversarial networks,https://pureportal.coventry.ac.uk/en/publications/generation-of-pedestrian-pose-structures-using-generative-adversa,The safety of vulnerable road users is of paramount importance as transport moves towards fully automated driving...,17 Feb 2020,"['Vasile Palade, https://pureportal.coventry.ac.uk/en/persons/vasile-palade', 'Alireza Daneshkhah, https://pureportal.coventry.ac.uk/en/persons/alireza-daneshkhah']"
